example_id                                                                             | status | run_time        |
./spec/controllers/api/v1/voice_bookings_controller_spec.rb[1:3:4:1]                   | passed | 0.00302 seconds |
./spec/controllers/api/v1/voice_bookings_controller_spec.rb[1:3:5:1]                   | passed | 0.00329 seconds |
./spec/controllers/api/v1/voice_bookings_controller_spec.rb[1:3:6:1]                   | passed | 0.00402 seconds |
./spec/graphql/mutations/create_booking_spec.rb[1:1:1:1]                               | passed | 0.26607 seconds |
./spec/graphql/mutations/create_booking_spec.rb[1:1:2:1]                               | passed | 0.00778 seconds |
./spec/graphql/mutations/create_booking_spec.rb[1:1:3:1]                               | failed | 0.37846 seconds |
./spec/graphql/mutations/create_booking_spec.rb[1:1:4:1]                               | passed | 0.18512 seconds |
./spec/graphql/mutations/create_walk_on_booking_spec.rb[1:1:1]                         | passed | 0.18995 seconds |
./spec/graphql/mutations/create_walk_on_booking_spec.rb[1:2:1]                         | passed | 0.18176 seconds |
./spec/graphql/mutations/create_walk_on_booking_spec.rb[1:3:1]                         | passed | 0.00954 seconds |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:1:1]                       | passed | 0.18578 seconds |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:1:2]                       | passed | 0.1816 seconds  |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:1:3]                       | passed | 0.1818 seconds  |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:1:4]                       | passed | 0.18728 seconds |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:1:5]                       | passed | 0.18198 seconds |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:2:1]                       | passed | 0.00648 seconds |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:3:1]                       | passed | 0.18044 seconds |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:4:1]                       | passed | 0.18005 seconds |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:4:2]                       | passed | 0.1799 seconds  |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:4:3]                       | passed | 0.18007 seconds |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:4:4]                       | passed | 0.17988 seconds |
./spec/graphql/mutations/initiate_voice_handoff_spec.rb[1:1:5:1]                       | passed | 0.18055 seconds |
./spec/graphql/mutations/record_tournament_score_spec.rb[1:1]                          | passed | 0.54094 seconds |
./spec/graphql/mutations/record_tournament_score_spec.rb[1:2]                          | passed | 0.56121 seconds |
./spec/graphql/mutations/record_tournament_score_spec.rb[1:3]                          | passed | 0.6115 seconds  |
./spec/graphql/mutations/request_transcription_spec.rb[1:1:1:1]                        | passed | 0.35958 seconds |
./spec/graphql/mutations/request_transcription_spec.rb[1:1:1:2]                        | failed | 0.18216 seconds |
./spec/graphql/mutations/request_transcription_spec.rb[1:1:1:3]                        | failed | 0.17845 seconds |
./spec/graphql/mutations/request_transcription_spec.rb[1:1:2:1]                        | passed | 0.23979 seconds |
./spec/graphql/mutations/request_transcription_spec.rb[1:1:3:1]                        | passed | 0.18052 seconds |
./spec/graphql/mutations/request_transcription_spec.rb[1:1:4:1]                        | passed | 0.24284 seconds |
./spec/graphql/mutations/request_transcription_spec.rb[1:2:1]                          | passed | 0.38753 seconds |
./spec/graphql/mutations/request_transcription_spec.rb[1:3:1]                          | passed | 0.18 seconds    |
./spec/graphql/mutations/request_transcription_spec.rb[1:3:2]                          | passed | 0.1807 seconds  |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:1:1]                         | passed | 0.19142 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:1:2]                         | passed | 0.18503 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:1:3]                         | passed | 0.20334 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:1:4]                         | passed | 0.19304 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:1:5]                         | passed | 0.18804 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:1:6]                         | passed | 0.19606 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:1:7]                         | passed | 0.19161 seconds |
